#Iteration #error_Jacobi #error_Gauss #error_ICF #error_ICNE #error_Multigrid #error_CG
0 2.188e+00 4.726e-01 3.330e+00 0.000e+00 2.382e-04 1.062e+01
1 7.972e-01 8.478e-02 1.455e-01 0.000e+00 8.683e-08 2.188e+00
2 3.343e-01 6.049e-03 1.148e-02 0.000e+00 1.260e-11 7.972e-01
3 1.476e-01 4.537e-05 2.565e-04 0.000e+00 5.850e-16 3.343e-01
4 6.200e-02 5.038e-07 1.410e-06 0.000e+00 6.459e-20 1.476e-01
5 2.331e-02 1.749e-09 3.894e-09 0.000e+00 0.000e+00 6.200e-02
6 1.444e-03 3.175e-11 1.055e-11 0.000e+00 0.000e+00 2.331e-02
7 2.343e-04 4.718e-13 5.106e-14 0.000e+00 0.000e+00 1.444e-03
8 1.880e-05 8.047e-16 0.000e+00 0.000e+00 0.000e+00 2.343e-04
9 1.648e-06 3.067e-18 0.000e+00 0.000e+00 0.000e+00 1.880e-05
10 4.158e-08 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.648e-06
11 1.502e-09 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.158e-08
12 4.143e-34 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.502e-09
13 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 9.581e-34
14 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
15 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
16 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
17 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
18 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
19 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
20 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
21 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
22 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
23 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
24 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
25 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
26 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
27 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
28 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
29 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
30 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
31 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
32 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
33 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
34 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
35 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
36 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
37 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
38 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
39 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
40 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
41 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
42 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
43 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
44 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
45 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
46 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
47 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
48 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
49 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
